"","date","month","weekday","time","flow","holiday"
"111",2019-01-05,"01","Samstag","14",846,0
"112",2019-01-05,"01","Samstag","15",731,0
"113",2019-01-05,"01","Samstag","16",769,0
"114",2019-01-05,"01","Samstag","17",686,0
"115",2019-01-05,"01","Samstag","18",564,0
"116",2019-01-05,"01","Samstag","19",381,0
"117",2019-01-05,"01","Samstag","20",308,0
"118",2019-01-05,"01","Samstag","21",262,0
"119",2019-01-05,"01","Samstag","22",296,0
"120",2019-01-05,"01","Samstag","23",271,0
"121",2019-01-06,"01","Sonntag","00",175,1
"122",2019-01-06,"01","Sonntag","01",112,1
"123",2019-01-06,"01","Sonntag","02",99,1
"124",2019-01-06,"01","Sonntag","03",91,1
"125",2019-01-06,"01","Sonntag","04",54,1
"126",2019-01-06,"01","Sonntag","05",52,1
"127",2019-01-06,"01","Sonntag","06",91,1
"128",2019-01-06,"01","Sonntag","07",77,1
"129",2019-01-06,"01","Sonntag","08",152,1
"130",2019-01-06,"01","Sonntag","09",307,1
"131",2019-01-06,"01","Sonntag","10",373,1
"132",2019-01-06,"01","Sonntag","11",436,1
"133",2019-01-06,"01","Sonntag","12",494,1
"134",2019-01-06,"01","Sonntag","13",599,1
"135",2019-01-06,"01","Sonntag","14",660,1
"136",2019-01-06,"01","Sonntag","15",706,1
"137",2019-01-06,"01","Sonntag","16",687,1
"138",2019-01-06,"01","Sonntag","17",713,1
"139",2019-01-06,"01","Sonntag","18",541,1
"140",2019-01-06,"01","Sonntag","19",350,1
"141",2019-01-06,"01","Sonntag","20",299,1
"142",2019-01-06,"01","Sonntag","21",259,1
"143",2019-01-06,"01","Sonntag","22",191,1
"144",2019-01-06,"01","Sonntag","23",114,1
"145",2019-01-07,"01","Montag","00",50,0
"146",2019-01-07,"01","Montag","01",21,0
"147",2019-01-07,"01","Montag","02",25,0
"148",2019-01-07,"01","Montag","03",21,0
"149",2019-01-07,"01","Montag","04",46,0
"150",2019-01-07,"01","Montag","05",210,0
"151",2019-01-07,"01","Montag","06",913,0
"152",2019-01-07,"01","Montag","07",1186,0
"153",2019-01-07,"01","Montag","08",1093,0
